Matt Downton,5,0,1249,10,10,10,1249,1249,,100
Defeated Ashwin Nairy in Round of 32 of 2023 Kelowna Adult Open: +50 points for a new rating of 1050
New highest rating achieved: 1050
Defeated Troy Morgan in Round of 16 of 2023 Kelowna Adult Open: +50 points for a new rating of 1100
New highest rating achieved: 1100
Defeated Hector Devesa in Quarterfinals of 2023 Kelowna Adult Open: +50 points for a new rating of 1150
New highest rating achieved: 1150
Defeated Andrew Tan in Semifinals of 2023 Kelowna Adult Open: +49 points for a new rating of 1199
New highest rating achieved: 1199
Defeated Neil Ward in Finals of 2023 Kelowna Adult Open: +50 points for a new rating of 1249
New highest rating achieved: 1249
First ranking achieved! Rank: 6
