Ayden Travis Lee,5,0,1319,16,12,NR,1319,1000,,100
Defeated Benson Yan in Yellow Shell Ro32 of 2023 OGo-PoCo B&Y Open: +100 points for a new rating of 1100
New highest rating achieved: 1100
Defeated Peter Phuc in Yellow Shell Ro16 of 2023 OGo-PoCo B&Y Open: +53 points for a new rating of 1153
New highest rating achieved: 1153
Defeated Christopher Cui in Yellow Shell QF of 2023 OGo-PoCo B&Y Open: +64 points for a new rating of 1217
New highest rating achieved: 1217
Defeated Haley He in Yellow Shell SF of 2023 OGo-PoCo B&Y Open: +44 points for a new rating of 1261
New highest rating achieved: 1261
Defeated Jasper Kong in Yellow Shell Final of 2023 OGo-PoCo B&Y Open: +58 points for a new rating of 1319
New highest rating achieved: 1319
First ranking achieved! Rank: NR
